xi,S_hor,S_rad,S_tot,eta_GSL,P_norm
8.623115577889446826e+00,1.465070240219106035e+00,2.809411699799513773e+00,4.274481940018620030e+00,5.589131616867388797e-01,2.582651737487252802e+07
8.683417085427135973e+00,1.478784928706292856e+00,2.794866064796152294e+00,4.273650993502444706e+00,5.588838363045931512e-01,2.582651737487269938e+07
8.743718592964823344e+00,1.439804675606680240e+00,2.830816846057420122e+00,4.270621521664100584e+00,5.587769476347197450e-01,2.582651737487287819e+07
8.804020100502512491e+00,1.427234803452485767e+00,2.818947086001255098e+00,4.246181889453740865e+00,5.579161386449121851e-01,2.582651737487304211e+07
8.864321608040199862e+00,1.415167866321095369e+00,2.867070634728271727e+00,4.282238501049366874e+00,5.589186222552704475e-01,2.582651737487324327e+07
8.924623115577889010e+00,1.610548327593820384e+00,2.831912247285874429e+00,4.442460574879694590e+00,5.633188434547321544e-01,2.582651737487345934e+07
8.984924623115578157e+00,1.579724575825854682e+00,2.788983634604679462e+00,4.368708210430534145e+00,5.607438631284810127e-01,2.582651737487365305e+07
9.045226130653265528e+00,1.461202780957295611e+00,2.800015531442426653e+00,4.261218312399722485e+00,5.570328529199513046e-01,2.582651737487385422e+07
9.105527638190954676e+00,1.573718904206443892e+00,2.789741526770983970e+00,4.363460430977427862e+00,5.598038498767589077e-01,2.582651737487403303e+07
9.165829145728642047e+00,1.510659628405385257e+00,2.823749170271045994e+00,4.334408798676431473e+00,5.588105740977539204e-01,2.582651737487423420e+07
9.226130653266331194e+00,1.469792448162733134e+00,2.861559416462821304e+00,4.331351864625554882e+00,5.587062623950581619e-01,2.582651737487439066e+07
9.286432160804020342e+00,1.567803924311644392e+00,2.807482207818238873e+00,4.375286132129883043e+00,5.598869906217370795e-01,2.582651737487456203e+07
9.346733668341707713e+00,1.514765767499615556e+00,2.798672743267395013e+00,4.313438510767010570e+00,5.577860709017083973e-01,2.582651737487474084e+07
9.407035175879396860e+00,1.561555739334374859e+00,2.753948060209999049e+00,4.315503799544373464e+00,5.578414753796672176e-01,2.582651737487491593e+07
9.467336683417084231e+00,1.428380329351398137e+00,2.790141348231376828e+00,4.218521677582774743e+00,5.545787048175251366e-01,2.582651737487509474e+07
9.527638190954773378e+00,1.502523858961781755e+00,2.717857877468707883e+00,4.220381736430489639e+00,5.546286660331982699e-01,2.582651737487526610e+07
9.587939698492462526e+00,1.586585190212653984e+00,2.722614620659673967e+00,4.309199810872327951e+00,5.570013456367349791e-01,2.582651737487544864e+07
9.648241206030149897e+00,1.412845571787309185e+00,2.842851699552433775e+00,4.255697271339743182e+00,5.552195633396862506e-01,2.582651737487562746e+07
9.708542713567839044e+00,1.421482354697497064e+00,2.778964048288108835e+00,4.200446402985606120e+00,5.533914817431316857e-01,2.582651737487579137e+07
9.768844221105526415e+00,1.469228325982706140e+00,2.837094314512353499e+00,4.306322640495059417e+00,5.561916599232781255e-01,2.582651737487592921e+07
9.829145728643215563e+00,1.489276157873318018e+00,2.902634797890036200e+00,4.391910955763353996e+00,5.584297340404970056e-01,2.582651737487610057e+07
9.889447236180904710e+00,1.516255342641759096e+00,2.744449776202457780e+00,4.260705118844216877e+00,5.541458102376303207e-01,2.582651737487629056e+07
9.949748743718592081e+00,1.444336484219003180e+00,2.754095550133115022e+00,4.198432034352117981e+00,5.521354861093820121e-01,2.582651737487648055e+07
1.001005025125628123e+01,1.442827804026903360e+00,2.782260425961222694e+00,4.225088229988125832e+00,5.528298907052155986e-01,2.582651737487668917e+07
1.007035175879396860e+01,1.549215728846904616e+00,2.743258570610245695e+00,4.292474299457150089e+00,5.545757600501526330e-01,2.582651737487687916e+07
1.013065326633165775e+01,1.610800359021802741e+00,2.795425237141985875e+00,4.406225596163788616e+00,5.574921539415359506e-01,2.582651737487706542e+07
1.019095477386934689e+01,1.516957684458343447e+00,2.921227533539434873e+00,4.438185217997778764e+00,5.583046858034356186e-01,2.582651737487725914e+07
1.025125628140703427e+01,1.577336342896777488e+00,2.852270160205565119e+00,4.429606503102342607e+00,5.580296448920033514e-01,2.582651737487744540e+07
1.031155778894472341e+01,1.460769674075169222e+00,2.831622726598579387e+00,4.292392400673748831e+00,5.536669868916888060e-01,2.582651737487760931e+07
1.037185929648241078e+01,1.467795958975665949e+00,2.780192099106263193e+00,4.247988058081928919e+00,5.522697442064523621e-01,2.582651737487780303e+07
1.043216080402009993e+01,1.548304991925545160e+00,2.743545119074315863e+00,4.291850110999861023e+00,5.533830690707859379e-01,2.582651737487799674e+07
1.049246231155778908e+01,1.486756013629982887e+00,2.790774319735848330e+00,4.277530333365831439e+00,5.529341932294860040e-01,2.582651737487817928e+07
1.055276381909547645e+01,1.344285141579740106e+00,2.828318695966908436e+00,4.172603837546648542e+00,5.496671936624921706e-01,2.582651737487833574e+07
1.061306532663316560e+01,1.518689610946923008e+00,2.797913165649629885e+00,4.316602776596552893e+00,5.532894233688293584e-01,2.582651737487851083e+07
1.067336683417085297e+01,1.509760519372346010e+00,2.756962796343263467e+00,4.266723315715609033e+00,5.517521577981900904e-01,2.582651737487869710e+07
